Sr. No.,Title,Description,status,post_type,
353,Julia West,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
354,Jeremy Lonsdale,Poly Designer Cover & Back,Publish,team-member,
355,Jeremy Lonsdale,"Lifetime Advantage™ Folding Chairs, 4/Carton",Publish,team-member,
356,Jeremy Lonsdale,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Publish,team-member,
357,Jeremy Lonsdale,Stockwell Push Pins,Publish,team-member,
358,Cindy Schnelling,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Publish,team-member,
359,Heather Kirkland,8260,Publish,team-member,
360,Alan Barnes,3390,Publish,team-member,
361,Hunter Glantz,"Global Deluxe Stacking Chair, Gray",Publish,team-member,
362,Hunter Glantz,Bevis 36 x 72 Conference Tables,Publish,team-member,
363,Hunter Glantz,"Avery Flip-Chart Easel Binder, Black",Publish,team-member,
364,Julia West,"Howard Miller 16"" Diameter Gallery Wall Clock",Publish,team-member,
365,Carlos Daly,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Publish,team-member,
366,Barry French,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
367,Susan Vittorini,"Wilson Jones Hanging View Binder, White, 1""",Publish,team-member,
368,Carl Jackson,Boston 1730 StandUp Electric Pencil Sharpener,Publish,team-member,
369,Carl Jackson,Accessory31,Publish,team-member,
370,Carl Jackson,Accessory8,Publish,team-member,
371,Alan Barnes,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
372,Charlotte Melton,Hanging Personal Folder File,Publish,team-member,
373,Beth Thompson,Ibico Covers for Plastic or Wire Binding Elements,Publish,team-member,
374,Bryan Mills,Hoover Portapower™ Portable Vacuum,Publish,team-member,
375,Alan Barnes,Fellowes Command Center 5-outlet power strip,Publish,team-member,
376,Alan Barnes,SAFCO Arco Folding Chair,Publish,team-member,
377,Beth Paige,Accessory12,Publish,team-member,
378,Mike Pelletier,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Publish,team-member,
379,Delfina Latchford,3390,Publish,team-member,
380,Susan Vittorini,GBC DocuBind TL300 Electric Binding System,Publish,team-member,
381,Dorothy Wardle,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Publish,team-member,
382,Dorothy Wardle,Microsoft Internet Keyboard,Publish,team-member,
383,Dorothy Wardle,TDK 4.7GB DVD-R,Publish,team-member,
384,Susan Vittorini,Xerox 1977,Publish,team-member,
385,Jamie Kunitz,DAX Solid Wood Frames,Publish,team-member,
386,Fred Wasserman,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Publish,team-member,
387,Doug Bickford,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Publish,team-member,
388,Fred Wasserman,8260,Publish,team-member,
389,Susan Vittorini,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Publish,team-member,
390,Doug Bickford,Multimedia Mailers,Publish,team-member,
391,Claudia Miner,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Publish,team-member,
392,Claudia Miner,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Publish,team-member,
393,Frank Price,"DXL™ Angle-View Binders with Locking Rings, Black",Publish,team-member,
394,Frank Price,8260,Publish,team-member,
395,Dorothy Wardle,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Publish,team-member,
396,Dorothy Wardle,Laser & Ink Jet Business Envelopes,Publish,team-member,
397,Dorothy Wardle,Okidata ML390 Turbo Dot Matrix Printers,Publish,team-member,
398,Allen Rosenblatt,"Eldon Regeneration Recycled Desk Accessories, Smoke",Publish,team-member,
399,Dorothy Wardle,Accessory36,Publish,team-member,
400,Julia West,"Linden® 12"" Wall Clock With Oak Frame",Publish,team-member,
401,Ralph Knight,2160i,Publish,team-member,
402,Michelle Lonsdale,Global Deluxe High-Back Office Chair in Storm,Publish,team-member,
403,Charlotte Melton,"Howard Miller 16"" Diameter Gallery Wall Clock",Publish,team-member,
404,Charlotte Melton,Canon MP100DHII Printing Calculator,Publish,team-member,
405,Allen Rosenblatt,Accessory21,Publish,team-member,
406,Neola Schneider,Verbatim DVD-R 4.7GB authoring disc,Publish,team-member,
407,Neola Schneider,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Publish,team-member,
408,Joy Bell,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Publish,team-member,
409,Monica Federle,Avery 51,Publish,team-member,
410,Jamie Kunitz,SANFORD Liquid Accent™ Tank-Style Highlighters,Publish,team-member,
411,Susan Vittorini,Avery Poly Binder Pockets,Publish,team-member,
412,Susan Vittorini,"Dixon My First Ticonderoga Pencil, #2",Publish,team-member,
413,Susan Vittorini,Acco® Hot Clips™ Clips to Go,Publish,team-member,
414,Charles McCrossin,Fiskars® Softgrip Scissors,Publish,team-member,
415,Cari Schnelling,"Elite 5"" Scissors",Publish,team-member,
416,Doug Bickford,Eldon Wave Desk Accessories,Publish,team-member,
417,Don Miller,Avery 478,Publish,team-member,
418,Don Miller,Boston 16701 Slimline Battery Pencil Sharpener,Publish,team-member,
419,Fred Wasserman,Xerox 1982,Publish,team-member,
420,Bryan Mills,"Soundgear Copyboard Conference Phone, Optional Battery",Publish,team-member,
421,Carlos Daly,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Publish,team-member,
422,Joy Bell,Euro Pro Shark Stick Mini Vacuum,Publish,team-member,
423,Claudia Miner,Panasonic KX-P1150 Dot Matrix Printer,Publish,team-member,
424,Claudia Miner,Recycled Eldon Regeneration Jumbo File,Publish,team-member,
425,Beth Thompson,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Publish,team-member,
426,Allen Rosenblatt,Avery 498,Publish,team-member,
427,Beth Thompson,Premium Transparent Presentation Covers by GBC,Publish,team-member,
428,Beth Thompson,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Publish,team-member,
429,Susan Vittorini,GBC VeloBinder Electric Binding Machine,Publish,team-member,
430,Sylvia Foulston,Brown Kraft Recycled Envelopes,Publish,team-member,
431,Joy Bell,"Acme® 8"" Straight Scissors",Publish,team-member,
432,Becky Castell,Bell Sonecor JB700 Caller ID,Publish,team-member,
433,Carlos Daly,A1228,Publish,team-member,
434,Cari Schnelling,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Publish,team-member,
435,Jim Radford,8290,Publish,team-member,
436,Allen Rosenblatt,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Publish,team-member,
437,Dorothy Badders,Fellowes Neat Ideas® Storage Cubes,Publish,team-member,
438,Dorothy Badders,"Lesro Round Back Collection Coffee Table, End Table",Publish,team-member,
439,Mike Pelletier,Avery 492,Publish,team-member,
440,Mike Pelletier,Newell 343,Publish,team-member,
441,Doug Bickford,Recycled Eldon Regeneration Jumbo File,Publish,team-member,
442,Doug Bickford,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Publish,team-member,
443,Susan Vittorini,Canon S750 Color Inkjet Printer,Publish,team-member,
444,Andrew Gjertsen,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Publish,team-member,
445,Muhammed MacIntyre,"AT&T Black Trimline Phone, Model 210",Publish,team-member,
446,Muhammed MacIntyre,Newell 318,Publish,team-member,
447,Muhammed MacIntyre,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Publish,team-member,
448,Muhammed MacIntyre,Staples Vinyl Coated Paper Clips,Publish,team-member,
449,Jim Radford,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Publish,team-member,
450,Bryan Davis,Avery 491,Publish,team-member,
451,Anthony Johnson,Fellowes Black Plastic Comb Bindings,Publish,team-member,
452,Anthony Johnson,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Publish,team-member,
453,Doug Bickford,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Publish,team-member,
454,Carlos Daly,T18,Publish,team-member,
455,Don Miller,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Publish,team-member,
456,Don Jones,Honeywell Quietcare HEPA Air Cleaner,Publish,team-member,
457,Chad Cunningham,Staples Colored Bar Computer Paper,Publish,team-member,
458,Ralph Arnett,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Publish,team-member,
459,Ralph Arnett,Staples Battery-Operated Desktop Pencil Sharpener,Publish,team-member,
460,Nicole Hansen,Eldon® 200 Class™ Desk Accessories,Publish,team-member,
461,Fred Wasserman,"Memorex 80 Minute CD-R, 30/Pack",Publish,team-member,
462,Bryan Mills,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
463,Ralph Arnett,"Dual Level, Single-Width Filing Carts",Publish,team-member,
464,Doug Bickford,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",Publish,team-member,
465,Eugene Barchas,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Publish,team-member,
466,Brad Eason,"Master Giant Foot® Doorstop, Safety Yellow",Publish,team-member,
467,Brad Eason,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Publish,team-member,
468,Dorothy Wardle,Epson DFX-8500 Dot Matrix Printer,Publish,team-member,
469,Ralph Knight,Xerox 194,Publish,team-member,
470,Sylvia Foulston,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Publish,team-member,
471,Neola Schneider,Avery 493,Publish,team-member,
472,Neola Schneider,"Bevis Round Bullnose 29"" High Table Top",Publish,team-member,
473,Grant Carroll,GBC Recycled Regency Composition Covers,Publish,team-member,
474,Grant Carroll,Avery 506,Publish,team-member,
475,Grant Carroll,Xerox 197,Publish,team-member,
476,Julia West,"Eldon® Expressions™ Wood Desk Accessories, Oak",Publish,team-member,
477,Muhammed MacIntyre,Xerox 1935,Publish,team-member,
478,Susan Vittorini,Peel & Stick Add-On Corner Pockets,Publish,team-member,
479,Sylvia Foulston,Eureka The Boss® Cordless Rechargeable Stick Vac,Publish,team-member,
480,Doug Bickford,Eldon® Wave Desk Accessories,Publish,team-member,
481,Doug Bickford,Xerox 1905,Publish,team-member,
482,Doug Bickford,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Publish,team-member,
483,Dorothy Badders,"Executive Impressions 13"" Clairmont Wall Clock",Publish,team-member,
484,Henry Goldwyn,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
485,Henry Goldwyn,Global Troy™ Executive Leather Low-Back Tilter,Publish,team-member,
486,Henry Goldwyn,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Publish,team-member,
487,Grant Carroll,Staples SlimLine Pencil Sharpener,Publish,team-member,
488,Chad Cunningham,Presstex Flexible Ring Binders,Publish,team-member,
489,Beth Thompson,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
490,Beth Thompson,Eldon Image Series Black Desk Accessories,Publish,team-member,
491,Andrew Gjertsen,Avery 485,Publish,team-member,
492,Andrew Gjertsen,"Dixon My First Ticonderoga Pencil, #2",Publish,team-member,
493,Sylvia Foulston,Global Adaptabilities™ Conference Tables,Publish,team-member,
494,Michelle Lonsdale,Kensington 7 Outlet MasterPiece Power Center,Publish,team-member,
495,Michelle Lonsdale,"Global Deluxe Stacking Chair, Gray",Publish,team-member,
496,Cari Schnelling,Xerox 1885,Publish,team-member,
497,Henry Goldwyn,Avery 479,Publish,team-member,
498,Edward Hooks,"AT&T Black Trimline Phone, Model 210",Publish,team-member,
499,Brendan Dodson,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Publish,team-member,
500,Brendan Dodson,Eldon Pizzaz™ Desk Accessories,Publish,team-member,
501,Harold Engle,GBC Binding covers,Publish,team-member,
502,Roy French,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Publish,team-member,
503,Helen Abelman,Talkabout T8367,Publish,team-member,
504,Guy Armstrong,Logitech Access Keyboard,Publish,team-member,
505,Jennifer Braxton,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Publish,team-member,
506,Giulietta Baptist,Newell 336,Publish,team-member,
507,Jack Lebron,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Publish,team-member,
508,Jack Lebron,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Publish,team-member,
509,Erica Bern,GBC DocuBind P100 Manual Binding Machine,Publish,team-member,
510,Erica Bern,Avery 497,Publish,team-member,
511,Helen Abelman,SAFCO Folding Chair Trolley,Publish,team-member,
512,Guy Armstrong,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Publish,team-member,
513,Helen Abelman,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Publish,team-member,
514,Christopher Schild,Keytronic Designer 104- Key Black Keyboard,Publish,team-member,
515,Roy French,Accessory31,Publish,team-member,
516,Roy French,Avanti 4.4 Cu. Ft. Refrigerator,Publish,team-member,
517,Jennifer Braxton,Bush Mission Pointe Library,Publish,team-member,
518,Jennifer Braxton,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Publish,team-member,
519,Joy Smith,Ibico Covers for Plastic or Wire Binding Elements,Publish,team-member,
520,Evan Minnotte,Boston KS Multi-Size Manual Pencil Sharpener,Publish,team-member,
521,Evan Minnotte,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Publish,team-member,
522,Jenna Caffey,Martin-Yale Premier Letter Opener,Publish,team-member,
523,Harold Engle,Recycled Premium Regency Composition Covers,Publish,team-member,
524,Harold Engle,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Publish,team-member,
525,Harold Engle,i1000,Publish,team-member,
526,Harold Engle,Avery 493,Publish,team-member,
527,Harold Engle,Fellowes Super Stor/Drawer®,Publish,team-member,
528,Hilary Holden,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Publish,team-member,
529,Hilary Holden,*Staples* Letter Opener,Publish,team-member,
530,Hilary Holden,Canon PC1060 Personal Laser Copier,Publish,team-member,
531,Hilary Holden,LX 677,Publish,team-member,
532,Christopher Schild,Avery Hi-Liter® Fluorescent Desk Style Markers,Publish,team-member,
533,Harold Engle,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Publish,team-member,
534,Greg Guthrie,Acco Suede Grain Vinyl Round Ring Binder,Publish,team-member,
535,Greg Guthrie,Eldon Image Series Black Desk Accessories,Publish,team-member,
536,Greg Guthrie,Xerox 213,Publish,team-member,
537,Greg Guthrie,Newell 342,Publish,team-member,
538,Guy Armstrong,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Publish,team-member,
539,Guy Armstrong,Newell 337,Publish,team-member,
540,Joy Smith,GBC Binding covers,Publish,team-member,
541,Joy Smith,GBC Standard Therm-A-Bind Covers,Publish,team-member,
542,Erica Bern,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Publish,team-member,
543,Erica Bern,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Publish,team-member,
544,Dan Reichenbach,Xerox 1985,Publish,team-member,
545,Erica Bern,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Publish,team-member,
546,Guy Armstrong,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
547,Guy Armstrong,"Tennsco Lockers, Sand",Publish,team-member,
548,Evan Minnotte,Xerox 1920,Publish,team-member,
549,Joy Smith,Xerox 1928,Publish,team-member,
550,Joy Smith,Xerox 1939,Publish,team-member,
551,Joy Smith,StarTAC 7760,Publish,team-member,
552,Paul Gonzalez,Magna Visual Magnetic Picture Hangers,Publish,team-member,
553,Filia McAdams,M3682,Publish,team-member,
554,Joy Smith,Xerox 1978,Publish,team-member,
555,Greg Guthrie,"Sauder Forest Hills Library, Woodland Oak Finish",Publish,team-member,
556,Greg Guthrie,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
557,Joy Smith,"Wirebound Message Book, 4 per Page",Publish,team-member,
558,Joy Smith,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
559,Greg Guthrie,Hoover WindTunnel™ Plus Canister Vacuum,Publish,team-member,
560,Greg Guthrie,Newell 335,Publish,team-member,
561,Jack Lebron,Zoom V.92 USB External Faxmodem,Publish,team-member,
562,Joy Smith,Telescoping Adjustable Floor Lamp,Publish,team-member,
563,Evan Minnotte,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Publish,team-member,
564,Chuck Magee,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Publish,team-member,
565,Chuck Magee,Prang Drawing Pencil Set,Publish,team-member,
566,Filia McAdams,Xerox 1992,Publish,team-member,
567,Jack Lebron,TI 36X Solar Scientific Calculator,Publish,team-member,
568,Jack Lebron,V 3600 Series,Publish,team-member,
569,Jack Lebron,Sharp AL-1530CS Digital Copier,Publish,team-member,
570,Harold Engle,Hon 4-Shelf Metal Bookcases,Publish,team-member,
571,Harold Engle,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Publish,team-member,
572,Jack Lebron,Lock-Up Easel 'Spel-Binder',Publish,team-member,
573,Jack Lebron,U.S. Robotics 56K Internet Call Modem,Publish,team-member,
574,Frank Atkinson,Boston 1730 StandUp Electric Pencil Sharpener,Publish,team-member,
575,Frank Atkinson,Bretford CR4500 Series Slim Rectangular Table,Publish,team-member,
576,Jack Lebron,Euro Pro Shark Stick Mini Vacuum,Publish,team-member,
577,Jack Lebron,Hon 5100 Series Wood Tables,Publish,team-member,
578,Evan Minnotte,Belkin ErgoBoard™ Keyboard,Publish,team-member,
579,Joy Smith,Riverleaf Stik-Withit® Designer Note Cubes®,Publish,team-member,
580,Dan Reichenbach,Coloredge Poster Frame,Publish,team-member,
581,Jack Lebron,8860,Publish,team-member,
582,Frank Atkinson,Xerox 1920,Publish,team-member,
583,Frank Atkinson,252,Publish,team-member,
584,Erica Bern,Sharp 1540cs Digital Laser Copier,Publish,team-member,
585,Jack Lebron,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Publish,team-member,
